settlement,payout,deadline,deadline_iso,no_proof_needed,claim_url,description
Seawind Hotel Investment - Job Postings (Washington),• New,9/25/26,2026-09-25,YES,https://shisettlement.com/,"You may be able to claim a piece of this settlement if you applied for a job with Seawind Hotel Investment (Quality Inn SeaTac) in Washington between January 1,"
Community Realty Management - Data Breach,• New,9/25/26,2026-09-25,YES,https://crmdatasettlement.com/,You may be included in this settlement if your personal information was exposed in the September 2024 Community Realty Management data breach.
The Travelers Indemnity Company - Underinsured Coverage (NM),Varies,9/27/26,2026-09-27,YES,https://aguilaruimclasssettlement.com/,"This settlement covers New Mexico Travelers Indemnity Company customers who had underinsured motorist automobile insurance coverage between January 1, 2015 and "
Central Valley Meat Co - Data Breach,"$25 - $5,075",9/28/26,2026-09-28,YES,https://centralvalleydatasettlement.com/,You may be included in this settlement if your private information was potentially compromised in the May 2024 Central Valley Meat Co data breach.
"Zale Delaware, Sterling Jewelers - Job Postings (Washington)",• New,9/28/26,2026-09-28,YES,https://zdiclassactionsettlement.com/,"You may be included in this settlement if you applied for a job opening with Zale Delaware or Sterling Jewelers in Washington between January 1, 2023 and July 2"
O’Reilly Automotive - Unwanted Texts,• New,9/28/26,2026-09-28,YES,https://oreillyrndsettlement.com/,"If you received two or more text messages from O’Reilly Automotive when your telephone number was on the National Do-Not-Call Registry, you may be included in t"
Pacific Bag - Job Postings (Washington),• New,9/28/26,2026-09-28,YES,https://epoasettlementpbl.com/,"You may be able to claim a piece of this settlement if you applied for a job with Pacific Bag or TricorBraun in Washington between January 1, 2023 and June 30, "
System Pavers - Data Breach,"$80 - $3,000",9/28/26,2026-09-28,YES,https://systempaversdataincident.com/,You may be included in this settlement if your private information was exposed in the September 2024 System Pavers data breach.
Mount Sinai Medical Center - Data Privacy,$20,9/28/26,2026-09-28,YES,https://www.mountsinaidatasettlement.com/,"You may be included in this settlement if you accessed Mount Sinai Medical Center’s website or patient portal between June 10, 2021 and September 18, 2025."
Pierce County Library System - Data Breach,"Up to $4,000",9/28/26,2026-09-28,YES,https://piercecountylibrarydatasettlement.com/,You may be included in this settlement if your personal information was exposed in the Pierce County Library System data breach disclosed in July 2025.
University of St. Thomas - Data Breach,"$50 - $4,500",9/28/26,2026-09-28,YES,https://ustdatasettlement.com/,You may be able to claim a piece of this settlement if you received notice that your personal information was exposed in the data breach affecting University of
ABC Legal Services - Data Breach,"Up to $5,000",9/28/26,2026-09-28,YES,https://www.abcdatasettlement.com/,You may be able to claim a piece of this settlement if your personal information was potentially compromised in the August 2024 ABC Legal Services data breach.
Atrium Health - Data Privacy,Varies,9/28/26,2026-09-28,YES,https://atriumhealthpixelsettlement.com/,"You may be included in this settlement if you had a MyAtriumHealth or MyCarolinas patient portal account between January 1, 2015 and April 10, 2024."
HCF Management - Data Breach,• New,9/29/26,2026-09-29,YES,https://hcfdatasettlement.com/,You may be covered by this settlement if you received notice that your personal information was allegedly accessed in the September 2024 HCF Management data bre
"Xactus, Credit Plus - Consumer Reports",• New,9/29/26,2026-09-29,YES,https://cinnerfcraclassaction.com/default.aspx,"You may be included in this settlement if you were the subject of certain consumer reports Credit Plus sent to a third party between November 16, 2021 and June "
LifeStance Health Group - Data Privacy,Varies,9/29/26,2026-09-29,YES,https://www.lifestancepixelsettlement.com/,"You may be included in this settlement if you were a LifeStance patient between March 1, 2020 and April 30, 2023."
Emanate Health Medical Center - Data Privacy,Varies,9/29/26,2026-09-29,YES,https://www.emanateprivacysettlement.com/,"If you logged into the Emanate patient portal, submitted an online form or scheduled an appointment on Emanate's website between August 30, 2019 and April 30, 2"
People Data Labs - Mobile Numbers (Colorado),• New,9/29/26,2026-09-29,YES,https://pdlsettlement.com/,This settlement covers Colorado residents whose mobile number was found in People Data Labs' database and whose information was disclosed at least once between 
Physicians’ Primary Care Of Southwest Florida - Data Breach,"Up to $5,000",9/29/26,2026-09-29,YES,https://physiciansprimarycaredatasettlement.com/,You may be included in this settlement if your personal information was potentially exposed in the September 2024 Physicians’ Primary Care Of Southwest Florida 
Furman Foods - Data Breach,"$35 - $2,400",9/30/26,2026-09-30,YES,https://www.furmanfoodsdatasettlement.com/,You may be able to claim a piece of this settlement if your personal information was compromised in the October 2024 Furman Foods data breach.
ApolloMD - Data Breach,"$75 - $5,000",9/30/26,2026-09-30,YES,https://apollomddatasettlement.com/,This settlement covers those whose private information was potentially exposed in the May 2025 ApolloMD data breach.
"First Baptist Church of Hammond, Indiana - Data Breach",• New,9/30/26,2026-09-30,YES,https://fbcdatasettlement.com/,"If your private information was compromised in the July 2025 First Baptist Church of Hammond, Indiana data breach, you may be included in this settlement."
Clay-Platte Family Medicine - Data Breach,• New,9/30/26,2026-09-30,YES,https://www.cpfmsettlement.com/,You may be included in this settlement if your personal information was exposed in the June 2024 Clay-Platte Family Medicine Clinic data breach.
NJ Lenders Corp - Data Breach,"$40 - $2,500",10/1/26,2026-10-01,YES,https://njlendersdatasettlement.com/,You may be included in this settlement if your personal information was exposed in the August 2025 NJ Lenders Corp data breach.
Healthcare Services Group - Data Breach,"Up to $5,000",10/1/26,2026-10-01,YES,https://healthcareservicesgroupsettlement.com/,You may be able to claim a piece of this settlement if your personal information was potentially exposed in the September 2024 Healthcare Services Group data br
Volkswagen Atlas - Water Pumps,• New,10/5/26,2026-10-05,NO,https://mainenginewaterpumpsettlement.com/,You may be included in this settlement if you owned or leased a 2018-2022 Volkswagen Atlas or Atlas Cross Sport vehicle equipped with a 3.6 Liter engine.
Heritage South Credit Union - Data Breach,"Up to $2,000",10/5/26,2026-10-05,YES,https://hscudatasettlement.com/,You may be able to claim a piece of this settlement if your personal information was exposed in the February 2025 Heritage South Credit Union data breach.
Coleman Professional Services - Data Breach,• New,10/5/26,2026-10-05,YES,https://www.colemansettlement.com/,You may be included in this settlement if your personal information was accessed in the October 2023 Coleman Professional Services data breach.
Total Vision - Data Breach (California),"Up to $1,000+",10/5/26,2026-10-05,YES,https://totalvisionsettlement.com/,"You may be included in this settlement if you are a California resident to whom Total Vision, LLC sent a direct mail notice of a data security incident that occ"
USA Clinics Group - Unwanted Texts,• New,10/5/26,2026-10-05,YES,https://usaclinicsgrouptcpasettlement.com/,"You may be included in this settlement if you received more than one marketing text from USA Clinics Group between June 12, 2021 and June 16, 2026."
Albany Gastroenterology Consultants - Data Breach,• New,10/5/26,2026-10-05,YES,https://albanygastrodatasettlement.com/,"If your private information was compromised in the November 2024 Albany Gastroenterology Consultants data breach, you may be able to claim a piece of this settl"
Bestway Spa Pumps,Up to $75,10/5/26,2026-10-05,NO,https://spapumpclassactionsettlement.com/,You may be included in this settlement if you purchased certain Bestway AirJet or Bestway HydroJet spa pumps.
Bayhealth - Data Privacy,$25,10/5/26,2026-10-05,YES,https://bayhealthpixelsettlement.com/,"You may be included in this settlement if you used the Bayhealth website to access the Bayhealth MyChart patient portal between January 1, 2019 and December 31,"
Bradford-Scott Data - Data Breach,• New,10/7/26,2026-10-07,YES,https://bradfordscottdatasettlement.com/,You may be included in this settlement if your private information was potentially accessed in the July 2023 data breach affecting Bradford-Scott Data.
MRA The Management Association - Data Breaches,Varies,10/7/26,2026-10-07,YES,https://mradatasettlement.com/,You may be included in this settlement if your personal information was potentially exposed in a data breach affecting MRA - The Management Association in July 
The Money Source - Unwanted Calls,• New,10/7/26,2026-10-07,YES,https://www.moneysourcetcpaclassaction.com/,"You may be included in this settlement if you were called on your cell phone between February 6, 2019 and May 7, 2025 by The Money Source with a prerecorded voi"
Ernst & Young - MOVEit Data Breach,"$100 - $10,000",10/8/26,2026-10-08,YES,https://www.moveitsettlementeyboa.com/,You may be included in this settlement if you received notice from Ernst & Young that your personal information was potentially exposed in the May 2023 MOVEit d
OnePoint Patient Care - Data Breach,• New,10/8/26,2026-10-08,YES,https://onepointsettlement.com/,You may be included in this settlement if your private information was accessed in the August 2024 OnePoint Patient Care data breach.
USAA - Total Loss Claims (Michigan),Varies,10/8/26,2026-10-08,YES,https://www.marcheksettlement.com/Home/portalid/0,You may be included in this settlement if you insured a leased vehicle under a Michigan USAA auto insurance policy and did not receive full payment for tax and 
Eisner Advisory Group - Data Breach,• New,10/8/26,2026-10-08,YES,https://eisnerdatasettlement.com/,You may be included in this settlement if your private information was exposed in the September 2023 Eisner Advisory Group data breach.
Arrowhead Regional Computing Consortium - Data Breach,• New,10/8/26,2026-10-08,YES,https://arrowheaddatasecuritysettlement.com/,This settlement covers those who were affected by the February 2023 Arrowhead Regional Computing Consortium data breach.
Anthem - Prostate Cancer Treatment,• New,10/10/26,2026-10-10,NO,https://protonbeamradiationtherapylitigation.com/,"You may be included in this settlement if you received proton beam radiation therapy for prostate cancer and sought coverage from Anthem, but your treatments we"
HireVue - Biometric Privacy (Illinois),• New,10/13/26,2026-10-13,YES,https://videointerviewbipasettlement.com/,"You may be included in this settlement if, while in Illinois, you completed an interview through HireVue's video interview platform between January 27, 2017 and"
Davison Design & Development - Unwanted Texts (Washington),• New,10/13/26,2026-10-13,YES,https://www.millertextsettlement.com/,You may be included in this settlement if you were a Washington resident and received one or more text messages from Davison Design & Development between Novemb
Crossroads Trading Co. - Data Breach,• New,10/13/26,2026-10-13,YES,https://crossroadssettlement.com/,This settlement covers those who were affected by the February 2025 Crossroads Trading Co. data breach.
Doxim - Data Breach,"$100 - $5,000",10/13/26,2026-10-13,YES,https://www.doximdatasecuritysettlement.com/,You may be included in this settlement if your private information was impacted in the December 2023 Doxim data breach.
Dairy Farmers of America - Data Breach,• New,10/14/26,2026-10-14,YES,https://dfadatasettlement.com/,"If your private information was compromised in the June 2025 Dairy Farmers of America data breach, you may be able to claim a piece of this settlement."
FLO App - Data Privacy,Varies,10/15/26,2026-10-15,YES,https://periodtrackerdataprivacylitigation.com/home/,"You may be included in this settlement if you used the FLO app between November 1, 2016 and February 28, 2019."
State Farm - Total Loss Fees (Louisiana),• New,10/19/26,2026-10-19,YES,https://louisianafeessettlement.com/,You may be eligible to claim a piece of this settlement if you are a Louisiana resident and received a total loss claim payment for your vehicle from State Farm
Lester and Rosalie Anixter Center - Data Breach,• New,10/19/26,2026-10-19,YES,https://www.anixterdatasettlement.com/,"If your private information was compromised in the July 2023 Lester and Rosalie Anixter Center data breach, you may be included in this settlement."
Tennessee Farmers Mutual Insurance - Total Loss Claims,Varies,10/19/26,2026-10-19,YES,https://autoinsuranceclaimsettlement.com/,"If your vehicle was adjusted to be a total loss by Tennessee Farmers Mutual Insurance Company and the claim was submitted between September 26, 2017 and April 7"
Lands’ End - Data Breach,"$60 - $5,000",10/22/26,2026-10-22,YES,https://landsenddatasettlement.com/,You may be included in this settlement if your information was compromised in the December 2024 Lands’ End data breach.
Equinox - Data Breach,"$100 - $5,000",10/23/26,2026-10-23,YES,https://www.equinoxincsettlement.com/,You may be included in this settlement if your personal information was exposed in the April 2024 Equinox data breach.
Whirlpool Refrigerators - Wire Harness Issue,Varies,11/2/26,2026-11-02,NO,https://www.refrigeratorsettlement.com/,"You may be included in this settlement if you bought a side-by-side refrigerator manufactured by Whirlpool from 2018-2021, including certain Whirlpool, Maytag, "
Forbes - Data Privacy (California),• New,11/9/26,2026-11-09,YES,https://www.mediasitetrackersettlement.com/,"You may be included in this settlement if you are a California resident and you accessed Forbes' websites between December 20, 2023 and June 11, 2026."
Generic Pharmaceuticals Antitrust,Varies,11/9/26,2026-11-09,NO,https://www.genericdrugsendpayersettlement.com/,"You may be able to claim a piece of this settlement if you paid for certain prescription generic drugs between May 1, 2009 and December 31, 2019."
Hearthside Food Solutions - Labor Laws (Illinois),Varies,11/20/26,2026-11-20,NO,https://www.hearthsidefssettlement.com/,"This settlement covers those who worked at a Hearthside Food Solutions facility in Illinois while under the age of 16 between March 1, 2020 and December 4, 2024"
Twitter Acquisition - Securities,• New,11/24/26,2026-11-24,NO,https://twitteracquisitionlitigation.com/,"If you sold the publicly traded stock or call options, or purchased the put options, of Twitter, Inc. between May 13, 2022 and October 4, 2022, you may be inclu"
Toyota - Airbag Control Units,Varies,12/16/26,2026-12-16,NO,https://www.airbagcontrolunitsettlement.com/,This settlement covers current and former owners and lessees of certain 2011-2019 Toyota vehicles. The full list of affected vehicles can be found on the settle
Service Spot - Parking Reservation Fees (California),Varies,12/17/26,2026-12-17,YES,https://servicespotsettlement.com/,"If you made a booking on ParkOn.com or CheapAirportParking.org between July 1, 2024 and June 9, 2025 and paid a mandatory reservation fee as a California reside"
RealPage - Rent Price-Fixing,Varies,1/29/27,2027-01-29,NO,https://www.realpagerentalsettlement.com/,This settlement covers those who paid rent on a lease for at least one multifamily property subject to a license for certain RealPage software between October 1
"Hyundai, Kia - Airbag Control Units",Up to $150 - $350+,3/29/27,2027-03-29,NO,https://www.acusettlement.com/hyundaikia,"This settlement includes those who, as of April 14, 2025, owned or leased certain Hyundai or Kia models. You can find the full list of vehicles on the settlemen"
"Hyundai, Kia - Vehicle Theft","$375 - $4,500",3/31/27,2027-03-31,NO,https://www.hkmultistateimmobilizersettlement.com/home,"You may be included in this settlement if you owned or leased certain 2011-2022 Hyundai or Kia vehicles that were stolen or almost stolen on or after April 29, "
Breckenridge - Duloxetine Future Refund Program,Varies,1/1/28,2028-01-01,NO,https://www.breckenridgefuturerefundprogram.com/,"This website is for those who wish to make a claim to receive compensation for out-of-pocket costs paid for unused, returned Breckenridge duloxetine that is sub"
